date,confirmed,deaths,new_confirmed,new_deaths,new_confirmed_7dma,new_deaths_7dma,cfr
2020-03-16,183165,7268,14567,716,9843.0,466.2857142857143,0.03968006988234652
2020-03-17,198339,8119,15174,852,11330.857142857143,548.7142857142858,0.040934964883356274
2020-03-18,215900,9075,17561,956,12767.571428571428,635.0,0.0420333487725799
2020-03-19,242987,10217,27087,1144,15672.0,752.5714285714286,0.042047516945350985
2020-03-20,272517,11791,29532,1575,18006.0,905.7142857142858,0.0432670255433606
2020-03-21,304944,13599,32433,1809,21083.85714285714,1103.2857142857142,0.044595073193766724
2020-03-22,339156,15427,34212,1829,24366.571428571428,1268.7142857142858,0.045486442816874834
2020-03-23,381711,17523,42555,2096,28364.85714285714,1465.857142857143,0.04590645802714619
2020-03-24,423594,19949,41898,2426,32182.571428571428,1690.7142857142856,0.04709462362545267
2020-03-25,475075,22920,51481,2971,37028.28571428572,1978.5714285714287,0.04824501394516655
2020-03-26,535889,26173,60814,3256,41846.42857142857,2280.285714285714,0.04884033820436695
2020-03-27,599820,29812,63931,3639,46760.57142857143,2575.1428571428573,0.049701577139808606
2020-03-28,669402,33861,69582,4049,52067.57142857143,2895.1428571428573,0.05058395403658788
2020-03-29,725918,37680,56516,3819,55253.85714285714,3179.4285714285716,0.05190668918527988
2020-03-30,790929,42050,65011,4370,58461.857142857145,3504.285714285714,0.053165328367021564
2020-03-31,869371,47218,78442,5168,63682.42857142857,3896.0,0.05431283077075265
2020-04-01,955728,53862,86357,6644,68664.71428571429,4420.714285714286,0.05635703882276129
2020-04-02,1038176,60115,82448,6253,71755.28571428571,4848.857142857143,0.057904440094935734
2020-04-03,1122386,66617,84210,6502,74652.28571428571,5257.857142857143,0.05935302115315052
2020-04-04,1182507,72976,77197,6591,75740.14285714286,5621.0,0.06171295391908885
2020-04-05,1254222,78897,71715,5921,77911.42857142857,5921.285714285714,0.06290513162741525
2020-04-06,1328948,85324,74726,6427,79299.28571428571,6215.142857142857,0.0642041675069303
2020-04-07,1397886,93841,72427,8517,78440.0,6693.571428571428,0.06713065300031619
2020-04-08,1480062,101061,82176,7220,77842.71428571429,6775.857142857143,0.06828159901409536
2020-04-09,1567243,109216,87181,8155,78518.85714285714,7047.571428571428,0.06968670461440887
2020-04-10,1653665,116957,86422,7741,78834.85714285714,7224.571428571428,0.0707259330033592
2020-04-11,1729180,123939,75515,6982,78594.57142857142,7280.428571428572,0.07167501359025666
2020-04-12,1847761,130453,118602,6514,85292.71428571428,7365.142857142857,0.07060058091928556
2020-04-13,1919593,136966,71832,6513,84879.28571428571,7377.428571428572,0.07135158338251911
2020-04-14,2004226,144323,84633,7359,86623.0,7212.0,0.07200934425558794
2020-04-15,2082482,153088,78256,8765,86063.0,7432.714285714286,0.07351228005812295
2020-04-16,2176950,160800,94468,7712,87104.0,7369.428571428572,0.07386481085922966
2020-04-17,2264830,169688,87880,8888,87312.28571428571,7533.285714285715,0.07492306265812446
2020-04-18,2343082,176118,78253,6430,87703.42857142858,7454.428571428572,0.0751651030565725
2020-04-19,2419404,182219,76322,6101,81663.42857142857,7395.428571428572,0.07531565625253162
2020-04-20,2495886,188730,76482,6511,82327.71428571429,7395.142857142857,0.07561643440445598
2020-04-21,2571973,195926,76087,7196,81106.85714285714,7371.857142857143,0.07617731601381507
2020-04-22,2654011,203205,82038,7279,81647.14285714286,7159.571428571428,0.07656524407773743
2020-04-23,2736728,210475,84426,7270,80212.57142857143,7096.428571428572,0.07690753337562227
2020-04-24,2820291,217313,93597,6839,81029.28571428571,6803.714285714285,0.07705339626300974
2020-04-25,2903496,223363,83205,6050,81736.71428571429,6749.428571428572,0.07692898492024787
2020-04-26,2974291,228179,70796,4816,80947.28571428571,6565.857142857143,0.07671710669870567
2020-04-27,3045275,233624,70984,5445,80161.85714285714,6413.571428571428,0.07671688106985412
2020-04-28,3121107,240253,75832,6629,80125.42857142857,6332.571428571428,0.07697685468649425
2020-04-29,3198435,247233,78783,6980,79660.42857142857,6289.857142857143,0.07729811610991
2020-04-30,3282087,253486,83652,6253,79549.85714285714,6144.571428571428,0.0772331751108365
2020-05-01,3371033,259073,88946,5593,78885.42857142857,5966.571428571428,0.07685270360746987
2020-05-02,3449295,265119,78429,6046,78203.14285714286,5966.0,0.07686179349693198
2020-05-03,3523292,269394,74013,4275,78662.71428571429,5888.714285714285,0.07646087806517314
2020-05-04,3600929,274239,77642,4845,79613.85714285714,5803.0,0.07615784704447102
2020-05-05,3680614,280386,79685,6147,80164.28571428571,5734.142857142857,0.07617913750260147
2020-05-06,3771036,287146,90422,6760,81827.0,5702.714285714285,0.07614512298477129
2020-05-07,3860174,293012,90721,5866,82836.85714285714,5647.428571428572,0.07590642287109338
2020-05-08,3950657,298967,91963,5955,83267.85714285714,5699.142857142857,0.07567526110214073
2020-05-09,4035000,303885,84343,4918,84112.71428571429,5538.0,0.07531226765799257
2020-05-10,4110223,308223,75223,4338,84285.57142857143,5547.0,0.07498936189107014
2020-05-11,4186364,312301,76198,4078,84079.28571428571,5437.428571428572,0.07459958092511783
2020-05-12,4271644,318031,85300,5736,84881.42857142858,5378.714285714286,0.07445166310675702
2020-05-13,4355992,323468,84348,5437,84013.71428571429,5189.714285714286,0.07425817127304182
2020-05-14,4451634,329217,95643,5749,84716.85714285714,5173.0,0.07395419299969405
2020-05-15,4547536,334970,95902,5753,85279.57142857143,5144.142857142857,0.07365966976402166
2020-05-16,4641426,339511,93890,4541,86643.42857142857,5090.285714285715,0.07314799374157856
2020-05-17,4719789,343391,78363,3880,87092.0,5024.857142857143,0.07275558292966063
2020-05-18,4808921,347786,89132,4396,88939.71428571429,5070.285714285715,0.07232100506537745
2020-05-19,4904739,352754,96027,5185,90472.14285714286,4991.571428571428,0.07192105431094295
2020-05-20,5010162,358160,105423,5406,93482.85714285714,4987.142857142858,0.07148671040976319
2020-05-21,5116135,363195,106077,5035,94973.42857142857,4885.142857142857,0.0709901126533995
2020-05-22,5223477,368901,107342,5706,96607.71428571429,4878.428571428572,0.07062364781160135
2020-05-23,5327627,373355,104150,4454,98073.42857142857,4866.0,0.07007904269574428
2020-05-24,5420843,376755,93655,3480,100258.0,4808.857142857143,0.0695011827496203
2020-05-25,5509066,378449,88595,3614,100181.28571428571,4697.142857142857,0.06869567364050458
2020-05-26,5601428,383229,92362,4780,99657.71428571429,4639.285714285715,0.06841630384252016
2020-05-27,5703984,388449,102556,5220,99248.14285714286,4612.714285714285,0.06810134811037338
2020-05-28,5823977,393440,119993,4991,101236.14285714286,4606.428571428572,0.06755521184235445
2020-05-29,5945413,398596,121436,5156,103249.57142857143,4527.857142857143,0.06704260915095385
2020-05-30,6080456,402955,135043,4359,107662.85714285714,4514.285714285715,0.06627052313181775
2020-05-31,6183316,406242,102860,3287,108977.85714285714,4486.714285714285,0.0656996989964608
2020-06-01,6283580,409983,100264,3744,110644.85714285714,4505.285714285715,0.06524672240983644
2020-06-02,6406221,415254,123288,5271,115062.85714285714,4575.428571428572,0.06482043001638564
2020-06-03,6517437,420875,114442,5621,116760.85714285714,4632.714285714285,0.06457676537571441
2020-06-04,6655667,426403,138230,5528,119366.14285714286,4709.428571428572,0.06406615595401632
2020-06-05,6789073,431460,133406,5057,121076.14285714286,4695.285714285715,0.06355212265356404
2020-06-06,6918403,435600,129330,4140,120260.0,4664.0,0.0629625073879044
2020-06-07,7029415,438857,111012,3257,121424.57142857143,4659.714285714285,0.06243151101478572
2020-06-08,7132463,443312,103048,4455,121822.28571428571,4761.285714285715,0.062154125440258154
2020-06-09,7258445,448357,125982,5045,122207.14285714286,4729.0,0.061770392969844094
2020-06-10,7395607,453783,137162,5426,125452.85714285714,4701.142857142857,0.06135845238937115
2020-06-11,7531793,458920,136186,5139,125160.85714285714,4645.571428571428,0.06093104258175975
2020-06-12,7659267,463663,127474,4743,124313.42857142857,4600.714285714285,0.06053621057994192
2020-06-13,7793175,468056,133908,4394,124967.42857142857,4637.0,0.06005973175246289
2020-06-14,7925122,471838,131947,3782,127958.14285714286,4712.0,0.05953700144931523
2020-06-15,8050034,475905,124912,4067,131081.57142857142,4656.571428571428,0.059118383847819776
2020-06-16,8193933,483023,143899,7118,133641.14285714284,4952.714285714286,0.058948858869116945
2020-06-17,8337135,488500,143202,5477,134504.0,4960.0,0.0585932697503399
2020-06-18,8480229,493854,143094,5354,135490.85714285713,4990.714285714285,0.05823592735526364
2020-06-19,8661225,500212,181144,6358,143158.0,5221.428571428572,0.05775303147072152
2020-06-20,8847108,504694,185883,4482,150583.0,5234.0,0.057046212163341964
2020-06-21,8940170,509338,112858,4645,147856.0,5357.285714285715,0.05697184729149446
2020-06-22,9082502,513205,142333,3867,150344.7142857143,5328.714285714285,0.056504804513117644
2020-06-23,9250625,518774,168126,5569,153805.7142857143,5107.428571428572,0.0560798864941558
2020-06-24,9422061,524272,171436,5529,157839.14285714284,5114.857142857142,0.055643027571143935
2020-06-25,9601576,529382,179515,5110,163042.14285714284,5080.0,0.055134907019430975
2020-06-26,9794066,534465,192490,5083,164663.0,4897.857142857143,0.05457028776403998
2020-06-27,9970478,539201,176412,4736,163310.0,4934.142857142857,0.054079754250498324
2020-06-28,10138935,542822,168864,3622,171310.85714285716,4788.0,0.053538364729628904
2020-06-29,10291617,546894,152682,4072,172789.2857142857,4817.285714285715,0.053139754423430254
2020-06-30,10475388,552146,183771,5252,175024.2857142857,4772.0,0.05270888295497981
2020-07-01,10690516,557487,215128,5341,181266.0,4745.142857142857,0.052147810264724356
2020-07-02,10895486,563001,204970,5514,184902.42857142858,4802.857142857143,0.05167286709376709
2020-07-03,11098124,568241,202639,5240,186352.2857142857,4825.285714285715,0.05120153640381023
2020-07-04,11287838,573035,189714,4796,188252.57142857145,4833.857142857143,0.05076570021646307
2020-07-05,11474058,576880,186220,3849,190732.0,4866.285714285715,0.050276894190355324
2020-07-06,11642331,581148,168273,4268,192959.2857142857,4894.285714285714,0.04991680789697527
2020-07-07,11851900,587508,209569,6360,196644.7142857143,5052.571428571428,0.04957078611868139
2020-07-08,12067186,593137,215286,5633,196667.2857142857,5094.285714285715,0.049152884525025135
2020-07-09,12291782,598986,224596,5849,199471.0,5142.142857142857,0.0487306071650148
2020-07-10,12524663,604728,232881,5743,203791.2857142857,5214.0,0.0482829757575114
2020-07-11,12737483,609869,212820,5141,207092.14285714287,5263.285714285715,0.047879867631619215
2020-07-12,12930415,614171,192932,4302,208051.0,5328.0,0.04749816614547948
2020-07-13,13124893,618607,194478,4436,211794.57142857142,5352.0,0.04713234614560286
2020-07-14,13345920,624592,221027,5987,213431.42857142855,5298.714285714285,0.04680022059176138
2020-07-15,13575706,630511,229786,5919,215502.85714285713,5339.571428571428,0.04644406707098695
2020-07-16,13820618,636673,244912,6162,218405.14285714284,5384.285714285715,0.04606689802149224
2020-07-17,14058038,643711,237420,7038,219053.57142857142,5569.285714285715,0.04578953336162557
2020-07-18,14293379,650241,235341,6532,222270.85714285713,5768.0,0.04549246192940102
2020-07-19,14505270,655135,211891,4894,224979.2857142857,5852.571428571428,0.04516530888428826
2020-07-20,14713414,659101,208144,3966,226931.57142857142,5785.428571428572,0.044795925677072634
2020-07-21,14956435,665439,243131,6351,230089.2857142857,5837.428571428572,0.04449181907319492
2020-07-22,15231791,672857,275358,7419,236599.57142857142,6051.714285714285,0.04417451631262535
2020-07-23,15511422,679494,279632,6637,241559.57142857142,6119.571428571428,0.04380604176715713
2020-07-24,15794928,685956,283506,6462,248143.2857142857,6037.285714285715,0.04342887792840841
2020-07-25,16044485,692021,249557,6065,250174.14285714284,5970.571428571428,0.04313139374682329
2020-07-26,16256294,696430,211809,4409,250162.42857142858,5901.285714285715,0.04284063760165755
2020-07-27,16490680,701726,234390,5314,253911.85714285713,6093.857142857142,0.042552884417137435
2020-07-28,16754567,708664,263887,6938,256877.0,6177.714285714286,0.04229676601012727
2020-07-29,17024801,715292,270234,6628,256145.0,6064.714285714286,0.04201470548760012
2020-07-30,17306582,722069,281781,6781,256452.0,6085.285714285715,0.041722218748912986
2020-07-31,17594044,728679,287462,6610,257017.14285714284,6106.428571428572,0.041416231538354685
2020-08-01,17840315,734665,246271,5986,256547.7142857143,6095.142857142857,0.041180046428552414
2020-08-02,18070926,739352,230611,4700,259233.7142857143,6136.714285714286,0.04091389672006847
2020-08-03,18276983,744209,206058,4857,255186.2857142857,6071.428571428572,0.04071837239220499
2020-08-04,18542287,751380,265304,7174,255388.7142857143,6105.142857142857,0.04052250944017855
2020-08-05,18817443,758757,275156,7377,256091.85714285713,6212.142857142857,0.04032200336676987
2020-08-06,19104145,765604,286702,6847,256794.85714285716,6221.571428571428,0.04007528209192298
2020-08-07,19386579,772357,282434,6757,256076.57142857142,6242.571428571428,0.0398397778174272
2020-08-08,19651806,778381,265227,6024,258784.57142857142,6248.0,0.03960862426588172
2020-08-09,19884801,783575,232997,5194,259125.42857142858,6318.571428571428,0.03940572500574685
2020-08-10,20118013,788952,233212,5377,263004.5714285714,6392.857142857143,0.03921619893574977
2020-08-11,20383576,795567,265564,6615,263041.71428571426,6313.0,0.039029805172556574
2020-08-12,20658646,802540,275070,6975,263029.4285714286,6255.571428571428,0.038847657295642705
2020-08-13,20948740,809327,290110,6787,263516.2857142857,6247.0,0.03863368393516746
2020-08-14,21255813,815894,307073,6568,267036.14285714284,6220.0,0.03838451156867065
2020-08-15,21504839,821948,249026,6054,264721.71428571426,6224.285714285715,0.03822153702243481
2020-08-16,21714880,826748,210083,4800,261448.2857142857,6168.0,0.038072879058046835
2020-08-17,21927762,831371,212882,4623,258544.0,6060.285714285715,0.03791408352571503
2020-08-18,22187166,838427,259404,7056,257664.0,6123.285714285715,0.03778882800985038
2020-08-19,22464640,844850,277474,6424,258007.42857142858,6044.571428571428,0.037607991937551634
2020-08-20,22736119,851277,271479,6427,255345.85714285716,5993.142857142857,0.03744161437578682
2020-08-21,22998072,857049,261953,6215,248900.14285714284,5942.714285714286,0.037266123873340336
2020-08-22,23261601,862838,263529,5789,250972.0,5904.857142857143,0.03709280371544504
